obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1996_clarifications_en,latour,textil,net,1,39837,no tracing is done by an actor exterior to the,net,A network is not a thing but the recorded movement,0
latour_1996_clarifications_en,latour,textil,net,1,39977,addresses have now changed. It is not longer whether a,net,"is representation or a thing, a part of society or",0
latour_1996_clarifications_en,latour,textil,nets,1,40309,"claims, bodies, energy, etc. since AT also wants to reconstruct",nets,before there is any distinction between what circulates inside and,0
latour_1996_clarifications_en,latour,textil,net,1,41726,gap is no more than a slight bump along the,net,the yawn is an artefact caused by a previous divide,0
latour_1996_clarifications_en,latour,textil,net,1,42169,what other actors do to it. “Society” has the same,net,"properties as the texts, and so has “nature”. But it",0
latour_1996_clarifications_en,latour,textil,nets,1,44225,one is chosen or rejected makes no practical difference since,nets,have no “in between” to be filled in. If chosing,0
latour_1996_clarifications_en,latour,topologia,circulation,1,3058,"is, of exclusively related yet very distant element with the",circulation,between nodes being made compulsory through a set of rigorous,0
latour_1996_clarifications_en,latour,topologia,nodes,1,3078,exclusively related yet very distant element with the circulation between,nodes,being made compulsory through a set of rigorous paths giving,0
latour_1996_clarifications_en,latour,topologia,paths,1,3132,between nodes being made compulsory through a set of rigorous,paths,giving to a few nodes a strategic character. Nothing is,0
latour_1996_clarifications_en,latour,topologia,nodes,1,3154,through a set of rigorous paths giving to a few,nodes,"a strategic character. Nothing is more intensely connected, more distant,",0
latour_1996_clarifications_en,latour,topologia,connected,1,3209,a few nodes a strategic character. Nothing is more intensely,connected,"more distant, more compulsory and more strategically organized than a",0
latour_1996_clarifications_en,latour,topologia,paths,1,3605,"network -it may be local, it may have no compulsory",paths,"no strategically positioned nodes. Tom Hughes’s “networks of power” (198-),",0
latour_1996_clarifications_en,latour,topologia,nodes,1,3640,"local, it may have no compulsory paths, no strategically positioned",nodes,"Tom Hughes’s “networks of power” (198-), to give a historical",0
latour_1996_clarifications_en,latour,topologia,grid,1,3905,"the engineer’s On actor-network theory sense, that is the electrical",grid,Even at this later stage the engineering definition of networks,0
latour_1996_clarifications_en,latour,topologia,proximity,1,4323,"social relations of individual human actors -their frequency, distribution, homogeneity,",proximity,It was devised as a reaction to the often too,0
latour_1996_clarifications_en,latour,topologia,surfaces,1,5863,is a change of methaphors to describe essences: instead of,surfaces,one gets filaments (or rhyzomes in Deleuze’s parlance 197-). More,0
latour_1996_clarifications_en,latour,topologia,topology,1,5966,Deleuze’s parlance 197-). More precisely it is a change of,topology,Instead of thinking in terms of surfaces two dimension- or,0
latour_1996_clarifications_en,latour,topologia,surfaces,1,6008,a change of topology. Instead of thinking in terms of,surfaces,two dimension- or spheres -three dimension- one is asked to,0
latour_1996_clarifications_en,latour,topologia,nodes,1,6095,-three dimension- one is asked to think in terms of,nodes,that have as many dimensions as they have connections. As,0
latour_1996_clarifications_en,latour,topologia,connections,1,6143,of nodes that have as many dimensions as they have,connections,"As a first approximation, the AT claims that modern societies",0
latour_1996_clarifications_en,latour,topologia,topology,1,6560,"by those traditional words without having to buy the ontology,",topology,and politics that goes with them. AT has been developped,0
latour_1996_clarifications_en,latour,topologia,connections,1,8084,"then, at a great price, sometimes end into provisionnaly commensurable",connections,Through this foreground/background reversal AT has some affinity with the,0
latour_1996_clarifications_en,latour,topologia,loci,1,8416,rule but the exceptions that have to be accounted for.,Loci,contingencies or clusters are more like archipelagos on a sea,0
latour_1996_clarifications_en,latour,topologia,surface,1,8591,"Less metaphorically, whereas universalists have to fill in the whole",surface,"either with order or with contingencies, AT do not attempt",0
latour_1996_clarifications_en,latour,topologia,proximity,1,9538,that we get rid of “the tyranny of distance” or,proximity,elements which are close when disconnected may be infinitely remote,0
latour_1996_clarifications_en,latour,topologia,disconnected,1,9579,tyranny of distance” or proximity; elements which are close when,disconnected,"may be infinitely remote if their connections are analyzed; conversely,",0
latour_1996_clarifications_en,latour,topologia,connections,1,9626,are close when disconnected may be infinitely remote if their,connections,"are analyzed; conversely, elements which would appear as infinitely distant",0
latour_1996_clarifications_en,latour,topologia,connections,1,9738,would appear as infinitely distant may be close when their,connections,are brought back into the picture. I can be one,0
latour_1996_clarifications_en,latour,topologia,connected,1,9884,"in the next telephone booth, and be nevertheless more closely",connected,to my mother 6000 miles away; an Alaskan reindeer might,0
latour_1996_clarifications_en,latour,topologia,proximity,1,10177,arab of his age but in spite of this close,proximity,in first grade they might drift apart in worlds that,0
latour_1996_clarifications_en,latour,topologia,proximity,1,10620,prevalence of geograpy. It seems obvious that we can oppose,proximity,"and connections. However, geographical proximity is the result of a",0
latour_1996_clarifications_en,latour,topologia,connections,1,10634,geograpy. It seems obvious that we can oppose proximity and,connections,"However, geographical proximity is the result of a science, geography,",0
latour_1996_clarifications_en,latour,topologia,proximity,1,10669,"obvious that we can oppose proximity and connections. However, geographical",proximity,"is the result of a science, geography, of a profession,",0
latour_1996_clarifications_en,latour,topologia,proximity,1,10825,"of a practice, mapping system, measuring, triangulating. Their definition of",proximity,and distance is useless for AT -or it should be,0
latour_1996_clarifications_en,latour,topologia,connections,1,10907,AT -or it should be included as one type of,connections,one type of networks as we will see below. All,0
latour_1996_clarifications_en,latour,topologia,surface,1,10991,as we will see below. All definitions in terms of,surface,and territories come from our reading of maps drawn and,0
latour_1996_clarifications_en,latour,topologia,proximity,1,11178,"own networks, there is no such a thing as a",proximity,or a distance which would not be defined by connectibility.,0
latour_1996_clarifications_en,latour,topologia,connection,1,11290,be defined by connectibility. The geographical notion is simply another,connection,to a grid defining a metrics and a scale. The,0
latour_1996_clarifications_en,latour,topologia,grid,1,11306,connectibility. The geographical notion is simply another connection to a,grid,defining a metrics and a scale. The notion of network,0
latour_1996_clarifications_en,latour,topologia,scale,1,11336,another connection to a grid defining a metrics and a,scale,The notion of network helps us to lift the tyranny,0
