obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1987_science_action_en,latour,topologia,inside,1,482360,and content is often called the internal/external division. Scientists are,inside,oblivious to the outside world that can only influence their,0
latour_1987_science_action_en,latour,topologia,outside,1,482385,"called the internal/external division. Scientists are inside, oblivious to the",outside,world that can only influence their conditions of work and,0
latour_1987_science_action_en,latour,topologia,outside,1,482655,examples have sketched a constant shuffling to and fro between,outside,world and laboratory; now an impassable barrier is thrown up,0
latour_1987_science_action_en,latour,topologia,outside,1,482959,becomes the provisional outcome of an inverse relationship between the,outside,recruitment of interests - the sociogram - and the 'inside',0
latour_1987_science_action_en,latour,topologia,inside,1,483020,'outside' recruitment of interests - the sociogram - and the,inside,recruitment of new allies - the technogram. With each step,0
latour_1987_science_action_en,latour,topologia,path,1,483097,new allies - the technogram. With each step along the,path,the constitution of what is 'inside' and what is 'outside',0
latour_1987_science_action_en,latour,topologia,inside,1,483131,each step along the path the constitution of what is,inside,and what is 'outside' alters. There are two solutions to,0
latour_1987_science_action_en,latour,topologia,outside,1,483152,path the constitution of what is 'inside' and what is,outside,alters. There are two solutions to the problem of the,0
latour_1987_science_action_en,latour,topologia,inside,1,483352,broad: either throwing up a theoretical and impassable barrier between,inside,"and 'outside', or tracing an empirical and variable limit between",0
latour_1987_science_action_en,latour,topologia,outside,1,483365,throwing up a theoretical and impassable barrier between 'inside' and,outside,or tracing an empirical and variable limit between them. The,0
latour_1987_science_action_en,latour,topologia,outside,1,483630,in the end no matter if you start from the,outside,or the inside - and allows this book to go,0
latour_1987_science_action_en,latour,topologia,inside,1,483645,no matter if you start from the outside or the,inside,- and allows this book to go on! (B) EVERYBODY,0
latour_1987_science_action_en,latour,topologia,inside,1,483933,'doing science' meant two different things for the collaborator working,inside,"the lab and for the boss travelling outside. However, it",0
latour_1987_science_action_en,latour,topologia,outside,1,483976,collaborator working inside the lab and for the boss travelling,outside,"However, it was clear from the example that they were",0
latour_1987_science_action_en,latour,topologia,scale,1,487378,for shaping new objects. When the whole process is very,scale,the boss is using only the instruments available or ones,0
latour_1987_science_action_en,latour,topologia,inside,1,488199,"unexpected ones are put into the picture; at the end,",inside,"huge laboratories, undergoing terrible and unexpected trials, new objects are",0
latour_1987_science_action_en,latour,topologia,outside,1,490960,on each other. It is utterly impossible to delineate an,outside,border to the picture- in which only 'context' for science,0
latour_1987_science_action_en,latour,topologia,inside,1,491055,in which only 'context' for science would be encountered-and an,inside,core- in which only 'technical content' would be produced. It,0
latour_1987_science_action_en,latour,topologia,inside,1,492588,trip through technoscience we should follow simultaneously those who stay,inside,"the labs and those who move outside, no matter how",0
latour_1987_science_action_en,latour,topologia,outside,1,492623,those who stay inside the labs and those who move,outside,"no matter how different the two groups appear. Second, we",0
latour_1987_science_action_en,latour,topologia,scale,1,493581,we are now going to get an idea of the,scale,of technoscience simply by using the statistics of the many,0
latour_1987_science_action_en,latour,topologia,outside,1,496632,tip of the iceberg; many more are needed who work,outside,"in order to make the inside possible, and those who",0
latour_1987_science_action_en,latour,topologia,inside,1,496661,are needed who work outside in order to make the,inside,"possible, and those who help in the definition, negotiation, management,",0
latour_1987_science_action_en,latour,topologia,inside,1,500705,massive proportions if we try to distinguish occupations and disciplines,inside,the remaining tiny numbers. Remember that in Table 4.1 we,0
latour_1987_science_action_en,latour,topologia,scale,1,502350,have chosen the best conditions in order to measure the,scale,"of technoscience. Had we made fewer ad hoc assumptions, this",0
latour_1987_science_action_en,latour,topologia,scale,1,502417,"of technoscience. Had we made fewer ad hoc assumptions, this",scale,"would be much smaller. For instance, all our figures come",0
latour_1987_science_action_en,latour,topologia,inside,1,503790,is far from being so. There are huge inequalities even,inside,the small number of academic scientists. There is what is,0
latour_1987_science_action_en,latour,topologia,inside,1,504836,"are concentrated in very few hands. First, this is visible",inside,"the same country. 14 Disputing a fact, launching a controversy,",0
latour_1987_science_action_en,latour,topologia,outside,1,504928,"14 Disputing a fact, launching a controversy, proposing an article",outside,"of the top institutions becomes much more difficult, and the",0
latour_1987_science_action_en,latour,topologia,inside,1,505357,or to quit the game altogether. This stratification is visible,inside,"the same country, but it is still more visible between",0
latour_1987_science_action_en,latour,topologia,scale,1,506626,lacks autonomy. 16 After quickly surveying the figures sketching the,scale,"of technoscience, we clearly understand that limiting it to 'insiders'",0
latour_1987_science_action_en,latour,topologia,outside,1,508954,"of the iceberg - but those who, although they stay",outside,are nevertheless shaping the science and form the bulk of,0
latour_1987_science_action_en,latour,topologia,scale,1,510243,slutt xxx Table 4.3 gives gross estimates but their general,scale,is interesting: it means that the few hundreds of thousands,0
latour_1987_science_action_en,latour,topologia,boundaries,1,510855,development. Although it is possible to discuss endlessly the precise,boundaries,"between these terms, we have learned enough in this book",0
latour_1987_science_action_en,latour,topologia,flowing,1,512567,only basic science as worthy of attention - the rest,flowing,"effortlessly from it- we see that, by and large, scientists",0
latour_1987_science_action_en,latour,topologia,scale,1,513409,that have already solved the same problem on a larger,scale,"That is, groups that have learned how to interest everyone",0
latour_1987_science_action_en,latour,topologia,scale,1,513839,United States will tell us. Because these figures are so,scale,they give us an idea of the most important transfers,0
latour_1987_science_action_en,latour,topologia,inside,1,514059,& D is an industrial affair (three-quarters is carried out,inside,firms) financed out of tax money (amounting to 47 per,0
latour_1987_science_action_en,latour,topologia,scale,1,518069,they have proved their mettle and on a much larger,scale,than scientists have ever tried.17 The interested and obedient layperson,0
